Date,1. open,2. high,3. low,4. close,5. volume
2025-09-19,1237.6,1245.05,1228.0,1242.0,130800.0
2025-09-18,1243.0,1243.05,1229.55,1239.1,9877.0
2025-09-17,1233.35,1248.0,1223.9,1243.0,19600.0
2025-09-16,1257.05,1261.9,1227.0,1230.5,123263.0
2025-09-15,1250.0,1259.45,1245.0,1257.3,4964.0
2025-09-12,1260.15,1265.4,1237.0,1248.7,35525.0
2025-09-11,1251.4,1270.0,1251.0,1269.15,25034.0
2025-09-10,1244.75,1257.85,1234.85,1256.0,11136.0
2025-09-09,1230.5,1249.0,1225.0,1246.75,14558.0
2025-09-08,1232.15,1243.95,1224.3,1230.25,37207.0
2025-09-05,1259.75,1259.75,1220.2,1231.55,42882.0
2025-09-04,1308.4,1308.4,1242.4,1245.85,63371.0
2025-09-03,1280.15,1291.35,1269.95,1274.4,17591.0
2025-09-02,1248.05,1287.0,1247.8,1284.75,73134.0
2025-09-01,1245.0,1264.5,1232.95,1257.45,8053.0
2025-08-29,1250.05,1280.0,1230.1,1240.85,32720.0
2025-08-28,1261.75,1281.0,1248.0,1250.05,25590.0
2025-08-26,1263.85,1268.25,1249.65,1258.9,15549.0
2025-08-25,1259.0,1268.1,1251.9,1263.9,137361.0
2025-08-22,1248.5,1265.0,1245.45,1257.85,76315.0
2025-08-21,1250.3,1250.55,1221.0,1247.3,19021.0
2025-08-20,1200.05,1252.2,1200.05,1247.15,21672.0
2025-08-19,1222.55,1222.55,1204.6,1218.95,15453.0
2025-08-18,1198.05,1225.8,1198.05,1209.9,65966.0
2025-08-14,1202.4,1202.4,1175.1,1184.9,13131.0
2025-08-13,1200.05,1201.9,1186.3,1198.1,9626.0
2025-08-12,1208.35,1208.35,1190.0,1198.8,10564.0
2025-08-11,1185.75,1202.8,1160.8,1199.35,10322.0
2025-08-08,1212.85,1244.5,1183.0,1185.6,76582.0
2025-08-07,1180.05,1224.6,1180.05,1221.0,14063.0
2025-08-06,1223.0,1223.0,1189.05,1202.05,14880.0
2025-08-05,1257.9,1257.9,1213.85,1219.0,11958.0
2025-08-04,1271.25,1271.25,1226.95,1249.05,17553.0
2025-08-01,1265.05,1290.0,1260.0,1265.35,25683.0
2025-07-31,1199.05,1265.0,1199.05,1257.8,37665.0
2025-07-30,1212.05,1220.0,1203.0,1217.0,10744.0
2025-07-29,1210.15,1214.85,1202.55,1210.9,191115.0
2025-07-28,1211.7,1235.8,1206.15,1215.3,7498.0
2025-07-25,1218.05,1223.0,1210.0,1217.9,4261.0
2025-07-24,1235.0,1236.0,1222.0,1224.0,6634.0
2025-07-23,1249.7,1249.7,1228.7,1232.45,9472.0
2025-07-22,1245.45,1248.9,1230.75,1245.2,6204.0
2025-07-21,1226.55,1254.8,1226.55,1238.0,9569.0
2025-07-18,1282.0,1283.0,1246.1,1252.15,3918.0
2025-07-17,1264.55,1283.2,1262.8,1275.15,7233.0
2025-07-16,1266.2,1269.65,1254.7,1264.2,2983.0
2025-07-15,1268.0,1276.2,1261.4,1269.7,4435.0
2025-07-14,1285.0,1288.5,1264.15,1266.3,135370.0
2025-07-11,1281.35,1305.85,1279.3,1285.0,18717.0
2025-07-10,1293.5,1293.5,1283.05,1286.7,5523.0
2025-07-09,1266.25,1307.75,1266.25,1293.55,23711.0
2025-07-08,1258.95,1281.15,1250.0,1277.25,27972.0
2025-07-07,1220.0,1271.75,1220.0,1268.3,251933.0
2025-07-04,1172.5,1199.05,1170.45,1192.8,4446.0
2025-07-03,1174.4,1182.1,1169.9,1170.8,4805.0
2025-07-02,1163.55,1182.25,1162.0,1174.4,6815.0
2025-07-01,1172.35,1182.7,1162.3,1168.15,10738.0
2025-06-30,1177.15,1181.4,1171.0,1178.75,4094.0
2025-06-27,1180.0,1186.0,1170.3,1176.2,12891.0
2025-06-26,1181.05,1192.15,1173.35,1183.65,5563.0
2025-06-25,1178.0,1188.0,1171.6,1185.05,8767.0
2025-06-24,1193.7,1193.7,1172.7,1175.7,4218.0
2025-06-23,1186.05,1192.05,1168.55,1170.75,6237.0
2025-06-20,1189.95,1195.0,1181.1,1188.9,4105.0
2025-06-19,1204.95,1205.1,1189.9,1193.7,6963.0
2025-06-18,1077.05,1201.5,1077.05,1196.25,9025.0
2025-06-17,1189.6,1199.35,1179.5,1196.45,4795.0
2025-06-16,1178.05,1194.45,1176.75,1188.2,3057.0
2025-06-13,1209.8,1209.8,1162.15,1188.75,3764.0
2025-06-12,1228.55,1228.55,1200.5,1203.55,4225.0
2025-06-11,1206.85,1234.15,1206.85,1223.1,10068.0
2025-06-10,1219.6,1222.85,1210.0,1213.1,8884.0
2025-06-09,1208.1,1224.4,1206.45,1218.0,14521.0
2025-06-06,1221.0,1221.0,1207.0,1210.45,11505.0
2025-06-05,1236.95,1236.95,1211.35,1215.05,6706.0
2025-06-04,1243.65,1243.65,1220.7,1226.65,11207.0
2025-06-03,1268.55,1268.55,1235.4,1238.6,19208.0
2025-06-02,1256.25,1302.3,1256.25,1265.6,73218.0
2025-05-30,1259.95,1259.95,1228.0,1231.5,2591.0
2025-05-29,1255.05,1257.0,1224.35,1245.8,13969.0
2025-05-28,1275.0,1279.15,1250.0,1255.45,5234.0
2025-05-27,1275.6,1280.3,1259.0,1271.2,7974.0
2025-05-26,1271.5,1290.0,1271.5,1284.7,3982.0
2025-05-23,1250.05,1283.35,1250.05,1277.3,6043.0
2025-05-22,1279.0,1285.8,1256.0,1265.2,4504.0
2025-05-21,1264.7,1291.45,1261.05,1279.85,12497.0
2025-05-20,1293.15,1299.7,1257.9,1261.5,7845.0
2025-05-19,1299.55,1307.85,1290.05,1292.05,2337.0
2025-05-16,1299.95,1305.75,1265.1,1297.5,71922.0
2025-05-15,1275.0,1297.0,1271.3,1289.7,3800.0
2025-05-14,1269.55,1287.25,1259.2,1281.35,6966.0
2025-05-13,1292.2,1295.15,1263.4,1265.6,10676.0
2025-05-12,1279.25,1292.15,1259.95,1289.05,11885.0
2025-05-09,1181.75,1244.65,1181.75,1241.2,7525.0
2025-05-08,1237.15,1271.25,1236.25,1239.85,14079.0
2025-05-07,1236.7,1253.5,1204.5,1247.15,43813.0
2025-05-06,1262.35,1271.7,1248.3,1250.9,25418.0
2025-05-05,1251.35,1287.1,1251.35,1262.25,11382.0
2025-05-02,1259.9,1278.55,1250.05,1256.15,3926.0
2025-04-30,1262.05,1275.0,1250.65,1259.9,9718.0
